RID,Age,Gender,Stream,Internships,Btech_CGPA,SSLC_Percentage,PUC_Percentage,Hostel,HistoryOfBacklogs,PlacedOrNot,Salary
A1H703P9ALYVM6,22,Male,Information Technology,1,9,82,74,0,0,1,336000
A1J1WODSG2NFCG,21,Male,Civil,0,8,81,73,0,0,1,265000
AS8B1BPUTP6AR,21,Male,Mechanical,0,9,80,78,1,0,1,230000
A3N5SKXEA0NN57,22,Male,Mechanical,0,8,76,79,1,1,1,500000
A3N5SKXEA0NN57,22,Male,Information Technology,0,8,71,76,0,0,1,270000
A3N5SKXEA0NN57,21,Male,Computer Science,1,8,78,81,0,0,1,265000
AB4SFDDO5DT8P,21,Male,Civil,0,9,69,88,0,0,1,240000
A1RMYTOAF6FXM6,21,Male,Computer Science,1,9,68,81,0,0,1,300000
APX38OL5RONWA,22,Male,Mechanical,0,8,67,86,1,0,1,265000
A3HQET31VOG3KN,21,Male,Information Technology,0,8,68,83,0,0,1,300000
A3J4NARZK4Q4PX,21,Male,Mechanical,0,8,69,82,1,0,1,300000
A221633P5RKKQ6,21,Male,Electronics And Communication,2,7,68,81,0,0,1,400000
ASEGKEBLODKZE,21,Male,Computer Science,0,8,70,80,0,0,1,220000
A3QOK68RA24N9M,21,Male,Computer Science,0,6,71,76,0,0,0,
A195135207HS76,22,Female,Civil,1,6,76,71,1,0,0,
A1I1I37TVC9JOO,22,Male,Mechanical,1,7,70,78,0,0,0,
AK3YI0DS8E4L7,21,Male,Civil,1,8,75,69,0,1,1,300000
A1CJOSIKYXIQFQ,22,Male,Information Technology,1,6,74,68,0,0,1,265000
A2T0LGPLQY2GW,21,Male,Electrical,1,6,73,76,0,0,1,230000
A22I7MDM7F462C,22,Female,Information Technology,2,7,78,78,0,0,0,
A2W3ABLWMJ84NS,22,Male,Electronics And Communication,0,6,79,79,0,0,0,
A1OO5O17L3VLZ9,22,Male,Computer Science,1,8,76,91,0,0,1,420000
ABY7ZTLL94B9P,21,Male,Computer Science,2,7,81,67,0,0,0,
ASYT7Z4P98WZZ,22,Male,Information Technology,0,8,88,73,0,0,1,320000
A35OXFCNXOQNUI,22,Female,Information Technology,0,7,81,78,0,0,0,
A1C0UCSKLZR0I9,21,Male,Mechanical,0,7,86,79,0,0,0,
A3O8Q6J5O5RB6Q,23,Male,Computer Science,0,7,83,76,0,0,1,320000
AKQZNFVEURYYO,23,Male,Civil,0,6,82,81,0,0,1,380000
A1B3ZMJN5ZADEJ,23,Male,Mechanical,1,5,81,68,0,0,0,
A104M4DKQ96IT0,24,Male,Information Technology,2,6,80,70,0,0,1,240000
A1QGQ6BDB5PR2X,23,Male,Electrical,0,5,76,71,1,0,0,
AWID3YSMRB8EU,23,Male,Information Technology,1,6,71,76,0,0,0,
A2CH6FUYGYDV4I,24,Female,Information Technology,0,6,78,70,0,0,1,375000
A35VJJW05NS0TH,24,Male,Information Technology,1,7,69,75,0,0,1,200000
A1CBFUH6ABI7ZM,24,Male,Civil,1,7,68,74,0,1,1,300000
A4QZ8I8ZINQGX,23,Male,Information Technology,1,7,76,73,0,0,1,375000
AI75XZ6BENG2E,23,Male,Information Technology,1,6,78,78,0,0,1,250000
A1FNCMOQ86GPHY,24,Male,Electronics And Communication,1,6,79,79,0,1,1,375000
A4OKY9RZ5VR7N,24,Male,Electrical,0,7,91,76,0,0,0,
A3O8Q6J5O5RB6Q,23,Male,Information Technology,1,6,67,81,0,0,0,
A1CIU572HUUE5A,24,Male,Computer Science,0,6,73,88,0,0,1,250000
ASP4CRYVPOSBG,23,Male,Electrical,0,6,78,81,0,0,0,
AXQIHSF9KK7CO,23,Male,Information Technology,1,7,79,86,1,0,1,300000
A3T6GMR57Z4NXG,23,Male,Information Technology,1,7,76,83,1,0,1,240000
A79XDKI3P4VN9,24,Male,Information Technology,3,5,81,82,0,1,1,276000
A2TCY4Q5S0NO5Z,23,Male,Mechanical,0,6,88,81,1,0,1,940000
AE1ZME0QHI8U,23,Female,Information Technology,2,6,81,80,0,0,1,310000
A32KPKPTN5WAYL,23,Male,Electronics And Communication,1,7,86,76,0,0,0,
AJ7UVZ40J5S7C,23,Male,Information Technology,1,5,83,71,0,0,1,236000
A29I0OB6DHLAR0,23,Male,Information Technology,1,7,82,78,0,0,1,240000
A4BFZ3L1WC21W,23,Male,Mechanical,2,7,81,69,1,0,1,250000
A2YRK0YLBN5CC2,24,Male,Information Technology,1,5,80,68,0,0,0,
A7LP72SYUQ9NT,24,Male,Information Technology,1,7,67,76,0,0,0,
A2JADV3SAJJFM3,24,Male,Computer Science,2,7,68,78,0,0,1,250000
AJ3MM7R0X38L1,24,Male,Electronics And Communication,0,5,69,79,0,0,0,
A2Z01X6BIVQYYM,24,Male,Information Technology,1,7,68,91,0,0,1,250000
A31L659SK7TFHM,23,Male,Mechanical,0,6,70,67,1,1,1,
AU856C2BVKD3K,23,Male,Computer Science,0,6,71,70,0,0,0,
A3D84XKHQEHTYA,23,Female,Mechanical,1,7,76,71,1,0,0,
A36UDEE2C989G,24,Male,Computer Science,1,6,70,76,0,0,1,250000
A10QVHHPD3GY6R,23,Male,Mechanical,1,6,75,70,1,1,1,250000
A1G3NJ8BWSCKZ3,24,Male,Computer Science,0,6,74,75,0,0,1,200000
A1J10GDW1T7E57,24,Male,Mechanical,0,6,73,74,0,0,1,320000
A2JV57QORWO99N,24,Male,Information Technology,0,5,78,73,0,0,1,225000
A1XFGI9UD9AF1G,23,Male,Electrical,0,5,79,78,0,0,0,
A2CH3AVJI0UR3P,24,Male,Electrical,0,5,76,79,1,0,0,
A3MD1DYKEGKYQB,23,Male,Computer Science,1,5,81,76,0,0,1,265000
A25T49CJ2PAEZH,23,Male,Electronics And Communication,0,7,88,81,0,0,1,310000
AOGFWDM85MRYM,24,Male,Information Technology,3,7,81,88,0,0,1,260000
A3HXSA0IC8MFIK,24,Male,Computer Science,2,5,86,81,0,0,1,300000
A2YMBRT36JYAH4,24,Male,Computer Science,2,5,83,86,0,0,1,310000
A4BWUBUN7E2TU,23,Male,Civil,0,7,82,83,1,0,1,400000
A1NCBHQ4VIES48,24,Male,Information Technology,1,6,81,82,0,0,1,233000
AC4JFEQ9RAO57,23,Male,Mechanical,0,5,80,81,1,1,0,
A177LV2Y3TEPM3,23,Male,Electrical,0,6,76,80,0,0,0,
AMEMYZC3GEE1K,24,Male,Computer Science,1,7,71,76,0,0,1,275000
A3QNTNG466KEU5,23,Male,Electrical,0,5,78,71,0,0,0,
A3DYK1CBQ1LY2D,24,Female,Information Technology,0,5,69,78,0,0,0,
A2CB6F0TPMCCL2,23,Male,Computer Science,1,5,68,69,0,0,1,240000
AE2DACIUN78GX,23,Female,Electronics And Communication,2,6,76,68,0,0,0,
A21J68PNBSYJEH,24,Male,Civil,0,7,78,76,0,0,1,250000
ADR9HLZB8AJ12,24,Male,Electronics And Communication,2,6,79,78,0,0,1,310000
A33TRG3THX7Y2I,23,Male,Information Technology,0,5,91,79,0,0,0,
A1F1XSI3ORPP6C,24,Male,Computer Science,2,6,67,91,0,0,1,300000
A18ZEMA7Y1HPMN,23,Male,Computer Science,1,6,73,67,0,0,0,
A2FIZ75BHZKFL7,24,Male,Computer Science,0,7,78,73,0,1,1,300000
A1I6KPUPD5OUEL,22,Male,Electronics And Communication,0,7,79,78,0,0,1,300000
A1CIU572HUUE5A,22,Male,Mechanical,0,5,76,79,1,0,0,
A1CIU572HUUE5A,22,Male,Computer Science,1,5,81,76,0,0,0,
A3N4ADZDBUSTZK,21,Male,Computer Science,1,6,88,81,0,0,1,500000
A3N4ADZDBUSTZK,21,Male,Civil,3,6,81,88,1,0,1,250000
A1E49FSMA5UW34,21,Male,Computer Science,0,6,86,81,0,1,1,350000
A2L52VV5I03CPK,21,Male,Electrical,0,5,83,86,0,0,0,
AJ7UVZ40J5S7C,21,Female,Information Technology,1,6,82,83,0,0,0,
A1VIECOHRHHA3P,22,Male,Computer Science,1,5,81,82,0,0,0,
A2MQ5M9IJAXX6C,22,Male,Computer Science,1,5,80,81,0,0,0,
A29CD8JFGT03RW,21,Male,Civil,1,6,68,80,0,0,1,240000
A1Q4M7TN3SYSX3,21,Female,Information Technology,2,5,70,68,0,0,0,
A3HZ48A3WZ1CR7,21,Male,Information Technology,1,6,71,70,0,0,1,300000
A2XXCVMYPT0K6L,22,Male,Civil,0,6,76,71,0,0,0,
A2JKD2KFHGTJB3,22,Male,Civil,0,7,70,76,0,1,0,
A3MF12CVDW10LK,21,Male,Information Technology,0,7,75,70,0,0,1,310000
A1P8G51NJENCA2,21,Male,Electronics And Communication,0,7,74,75,0,0,1,220000
A2IXVL6Y4OCG9C,22,Female,Information Technology,1,7,73,74,1,0,0,
A2SIK32WAX5FVE,22,Male,Electrical,1,6,78,73,0,0,1,350000
A2KAQNY3K8V42M,21,Female,Mechanical,1,5,79,78,1,0,0,
A1NJSTFIDE3Z67,22,Female,Information Technology,1,6,76,79,1,0,0,
A1IB247QPFFNBB,22,Male,Computer Science,2,6,81,76,0,0,1,265000
AXOPCBPBV5J7N,21,Male,Electronics And Communication,1,6,88,81,0,1,0,
ALWOBUKI4Q5IK,22,Male,Civil,0,5,81,88,0,0,0,
AB11ULJD4VG2T,21,Male,Electrical,2,5,86,81,0,1,0,
A2T48S3SE45UEJ,22,Male,Civil,1,7,83,86,0,0,0,
A6K2FSU4TK9D1,21,Female,Computer Science,1,7,82,83,1,0,0,
A28MI77LEB8M8Q,21,Male,Computer Science,1,6,81,82,0,0,0,
A2WJQZEV3SZT4P,22,Female,Electronics And Communication,1,5,80,81,1,0,0,
A1KOCGNDLF2VUR,21,Female,Information Technology,0,6,76,80,0,0,0,
A3LO0MTM3UDPZS,22,Male,Computer Science,0,5,71,76,0,0,0,
A2G4ZT3R94CUH0,22,Male,Computer Science,0,5,78,71,0,0,0,
A3NVQ6RSVEWB5C,21,Male,Mechanical,0,7,69,78,1,0,0,
A2PJZELNVQXN4W,21,Male,Computer Science,0,5,68,69,0,0,0,
A3N74M97ZR54C8,21,Male,Information Technology,0,5,76,68,0,1,0,
ACC9POYKE0CRQ,22,Female,Computer Science,1,5,78,76,1,0,0,
AD28DT80OK93,21,Male,Electronics And Communication,2,6,79,78,1,1,0,
A1AAPUCGCW3JI4,21,Male,Information Technology,1,5,91,79,1,1,0,
ANMAEMCHWTH6R,22,Female,Computer Science,2,7,67,91,1,0,0,
A1AULJ471YG7X3,21,Male,Computer Science,0,8,73,67,0,0,1,265000
A3DHT45GC4FNPV,21,Male,Computer Science,2,7,78,73,0,0,1,300000
A2TJG4N8LNJW23,22,Male,Computer Science,1,6,79,78,0,0,0,
A1D23KFV2A24OV,21,Female,Information Technology,2,6,76,79,1,0,1,240000
A1EOTQG8LVE79N,21,Male,Electronics And Communication,1,7,81,76,0,0,0,
A2DWDANWCY3RZH,21,Female,Computer Science,1,7,68,81,1,0,0,
A2LL1XR4NTBJWI,21,Male,Mechanical,0,8,70,68,1,0,1,250000
A3TY2JLV65FQ69,22,Male,Mechanical,0,8,71,70,1,0,1,310000
A2PTE8YKRU0JMW,22,Male,Information Technology,1,6,76,71,0,0,0,
A1V2J4CHW3JMCS,21,Female,Electrical,0,7,70,76,0,0,0,
AH5NDKZ3YK0AE,21,Male,Mechanical,0,8,75,70,0,0,1,216000
AQMGQDYE9M4G4,21,Male,Computer Science,2,8,74,75,0,0,1,400000
AO6UAATQ27EIV,21,Male,Information Technology,1,7,73,74,0,0,0,
AGBWOFK4S7IOQ,22,Male,Information Technology,0,6,78,73,0,1,0,
A2K85P43EFKS5J,22,Male,Information Technology,1,8,79,78,0,0,1,204000
APEELYOC4TS4E,21,Male,Electrical,1,7,76,79,0,0,1,270000
A1C2OND2ALZW6V,21,Female,Civil,1,6,81,76,0,0,0,
AQ5DOLCW77FEE,21,Male,Computer Science,3,6,88,88,0,0,1,250000
A1F6BHEYB7R6R7,21,Male,Civil,1,7,81,81,1,0,0,
AUU45LWKPAUO1,22,Male,Electrical,1,7,86,86,0,0,0,
A3BSVMER6NG7QR,21,Male,Electronics And Communication,2,6,83,83,1,1,0,
A1BMQET3MD0GWA,22,Male,Electrical,1,8,82,82,0,1,1,310000
A1OKSCYVZRDNU8,22,Male,Computer Science,2,8,81,81,0,0,1,252000
AXMSBGCAMF2S6,21,Male,Mechanical,1,6,80,80,1,1,0,
A2ZYU6P46NZ03P,22,Male,Computer Science,0,7,76,68,0,0,0,
A3DL511MHO62E8,22,Male,Civil,0,6,71,70,0,0,0,
AT050AMICV57J,21,Male,Civil,0,6,78,71,1,0,0,
A3B66EFJW9XF9U,21,Female,Computer Science,1,7,69,76,1,0,0,
A3LF1ONVFERT1Q,21,Male,Computer Science,2,7,68,70,0,0,1,218000
ANJDNFGY4EHCI,21,Female,Mechanical,1,6,76,75,1,0,0,
A1K66K3J9E0NTE,22,Male,Mechanical,0,6,78,74,1,0,0,
ARYSDAZNRXN6G,22,Male,Electronics And Communication,1,8,79,73,0,0,1,300000
A2JBGG8ZHICFPU,22,Male,Computer Science,1,8,91,78,0,0,1,310000
A1O95JWY92COCL,21,Female,Information Technology,0,8,67,79,0,0,1,270000
A2CBP9IPSHKYTC,22,Male,Information Technology,1,7,73,76,0,0,0,
A3UQNTRC96R4H7,21,Male,Information Technology,0,8,78,81,0,1,1,265000
A2BO49OKVUGZRA,22,Male,Computer Science,1,8,79,88,0,0,1,393000
ANS51Q9WZSPVG,22,Male,Computer Science,1,7,76,81,0,0,0,
A5PC6KU9TQFRY,21,Female,Information Technology,2,7,81,86,0,0,1,300000
A1KKHE3R5PBZ7Q,21,Female,Mechanical,1,8,70,83,1,0,1,360000
A1SH9UDT7PYHJT,21,Female,Computer Science,1,6,71,82,1,0,0,
A28RREP03HJZGU,22,Female,Information Technology,1,7,76,81,0,0,0,
A3RHJ2NSFH6LCT,22,Female,Computer Science,0,6,70,80,1,0,0,
A2RQ1NSD76PLC9,21,Male,Information Technology,2,8,75,76,1,0,1,350000
A1G6LLRD5COCFS,22,Male,Civil,0,7,74,71,1,1,0,
AOQUFU3CHF3EP,21,Male,Electrical,1,6,73,78,0,0,0,
A1MQNS1QNI3YPK,21,Male,Electronics And Communication,2,6,78,69,0,0,1,250000
A214868NC7S3GB,21,Male,Mechanical,1,7,79,68,1,0,0,
A3REGDQKR437IV,22,Male,Civil,0,7,76,76,0,0,0,
A3MQF4A1MY16BW,22,Female,Electrical,1,6,81,78,0,0,0,
A24GNH2KKN26YF,22,Male,Computer Science,0,8,88,79,0,0,1,300000
A39UYMCGDT1WO0,21,Male,Computer Science,3,8,81,91,0,0,1,270000
A3QNQQKJTL76H0,21,Female,Information Technology,0,8,86,67,0,1,1,320000
A1KJH3PK610TT6,22,Male,Electronics And Communication,0,6,83,73,0,0,0,
A8LVZ0VOL837P,22,Male,Civil,1,7,82,78,0,0,0,
A22SNB6CGJF10O,22,Male,Information Technology,1,8,81,79,1,1,1,287000
A2KDE9APK2MGKE,22,Female,Computer Science,1,8,80,76,1,1,1,310000
A186R37OQQ8TP1,22,Male,Mechanical,1,8,76,81,1,0,1,270000
A2JKIVXWKX1B73,21,Male,Electrical,2,6,71,68,0,0,1,300000
A17MVHN2OLE3EO,22,Male,Electronics And Communication,1,6,78,70,0,0,0,
A2I6FFCUE6KID9,22,Male,Information Technology,0,8,69,71,0,0,1,270000
AFWDWPACTUW83,22,Female,Computer Science,1,7,68,76,1,0,0,
A1J1V7RZ3WWYFT,21,Male,Information Technology,1,8,76,70,0,0,1,204000
A17551TUGU19HK,21,Male,Electrical,1,7,78,75,0,0,1,250000
A1SYZNCY54DOUD,22,Male,Mechanical,0,8,79,74,1,1,1,270000
A1KOTOY2Z3MILK,21,Male,Civil,0,6,91,73,0,0,0,
A2AV1LZY0VBF8C,21,Male,Information Technology,1,6,67,78,0,0,0,
A2YB7DLC3FOR7W,21,Female,Information Technology,1,8,73,81,0,0,1,200000
AP8JWRAMSNPDN,22,Male,Electronics And Communication,1,8,78,88,1,1,1,450000
A2CVIZR6HZHAJA,21,Male,Civil,1,7,79,81,0,0,0,
A1L24LXP935Z5Y,22,Male,Information Technology,2,6,76,86,0,0,1,220000
A3HEUHGV7K9XPB,21,Male,Electrical,0,6,81,83,1,0,0,
A3SKUMZCQ0JII9,22,Male,Information Technology,1,7,88,82,1,1,0,
A1UAAHO4NABZSS,21,Male,Electronics And Communication,0,6,81,81,0,0,0,
AYJVOH54PYZ92,22,Male,Computer Science,0,8,86,80,0,1,1,265000
A3EUCYZJHQZM0G,21,Male,Electronics And Communication,1,7,83,68,0,0,0,
AEPAWRU2N8AAN,22,Male,Mechanical,0,6,82,70,1,0,0,
A1W28XHOWQHP5Q,21,Male,Civil,0,7,81,71,0,0,0,
A2EKVE9ATJ0VQX,21,Female,Civil,1,7,80,76,1,0,0,
AEMV9IMH665B9,21,Male,Computer Science,1,7,68,70,0,0,0,
A10RRX5UM4D298,21,Male,Information Technology,0,6,70,75,0,1,1,310000
A2BJTPJG0JDEF5,21,Female,Electronics And Communication,2,7,71,74,0,0,1,275000
ALVYD6HBLYI0W,22,Female,Mechanical,1,8,76,73,1,0,1,275000
AK8H79OX1VTXG,21,Male,Mechanical,0,6,70,78,1,1,1,320000
A2S8HPKXAWOF3K,21,Male,Civil,0,7,75,79,1,0,1,275000
A36NBXFOEO13B,22,Male,Electronics And Communication,0,8,74,76,0,0,1,360000
A1FHRIPMOKPWHR,21,Male,Electronics And Communication,1,6,73,81,1,1,1,240000
A1ZIN96SUZ1S7B,21,Male,Mechanical,2,6,78,88,1,0,0,
A27RHSFAOKUS16,22,Male,Computer Science,0,8,79,81,0,0,1,218000
A11OTLEDSW8ZXD,21,Male,Civil,0,7,76,86,0,0,0,
AWNRK5U5VSD0Q,22,Male,Information Technology,0,7,81,83,0,0,0,
A3K7OFQ1AY2LTH,22,Male,Computer Science,0,7,88,82,0,0,0,
A3IQ9MP118YTIU,22,Male,Civil,1,6,81,81,1,0,0,
A1945KUFMTBRO3,22,Female,Computer Science,2,6,86,80,1,1,0,
A33REC3J2JU2EL,22,Male,Electronics And Communication,0,7,83,76,0,0,1,320000
A155ZNPBVIOKXQ,21,Male,Civil,0,8,82,71,0,0,1,240000
A2N0KH259UYW8B,21,Male,Civil,0,8,81,78,0,0,1,300000
A15ICWKFW6AYT1,22,Male,Computer Science,2,6,80,69,0,0,1,275000
A35E38U31B8L3F,22,Male,Computer Science,2,7,76,68,0,0,1,300000
A8PPCPSVK4C9F,22,Male,Electronics And Communication,1,7,71,76,1,1,1,300000
A2ODKRQRFSQLEO,21,Male,Information Technology,2,7,78,78,0,0,1,400000
A1ES6WGFFHCPJS,22,Male,Civil,0,6,69,79,0,0,0,
A2U0LXK29W2U6,22,Male,Civil,1,6,68,91,0,0,1,310000
A2XJN58PA73Y7Z,21,Male,Electronics And Communication,0,7,76,67,0,0,0,
A1JJ0QZIEENQ05,21,Male,Information Technology,0,7,78,73,0,0,1,210000
ACHWUC6RI2JDE,22,Male,Electronics And Communication,1,8,79,78,0,0,1,300000
A32TLFBFRW3YB4,22,Male,Computer Science,0,6,91,79,0,1,0,
A2N3KKZAWOQU19,22,Male,Electrical,2,8,67,76,0,1,1,230000
A1IWDAO9QR79UL,22,Male,Information Technology,0,6,73,81,0,1,1,275000
A2NQWPJ8EBWM3L,22,Female,Computer Science,1,6,78,68,1,0,1,260000
A2NWZHTPOZ8AZP,21,Male,Electrical,0,8,79,70,0,0,1,420000
A12HTO5NXAM489,21,Male,Computer Science,1,7,76,71,0,0,1,300000
AHTUUKDI8U1C0,22,Male,Information Technology,2,7,81,76,0,1,1,310000
A3R5TUC0Q9KG2H,22,Female,Computer Science,1,8,68,70,1,0,1,220000
A315ZTOAUYBVQJ,22,Male,Civil,0,6,70,75,0,0,1,275000
A3H0K82OLZDRDT,22,Male,Mechanical,0,6,71,74,1,0,1,260000
A2XQ2U8G9IJQTZ,22,Male,Civil,0,7,76,73,0,0,0,
A23ZYHOZTVFWL0,22,Female,Information Technology,0,6,70,78,0,0,1,300000
A3IJIU6311RN1V,22,Male,Electrical,1,8,75,81,0,0,1,240000
A23P6SKXQZYOW9,21,Female,Computer Science,0,6,74,80,1,0,0,
A1QNPQD5L0RB37,21,Male,Computer Science,1,6,73,76,0,0,1,310000
A1AV742V38W36L,21,Male,Computer Science,0,8,78,71,0,0,1,270000
A3NEAETOSXDBOM,21,Male,Mechanical,0,7,79,78,0,1,1,200000
A31N6KB160O508,21,Male,Computer Science,2,8,76,69,0,0,1,300000
A3B1360JOYS0GJ,22,Male,Civil,0,8,81,68,1,0,1,310000
A2L6GDFGKYC6GP,21,Male,Mechanical,1,6,88,76,1,0,0,
A3HZ5HFFWSUA9A,22,Male,Computer Science,0,8,81,78,0,0,1,250000
A1Q7A78VSQ5GQ4,21,Male,Computer Science,1,8,86,79,0,0,1,250000
A29D8KG8LQC2V1,21,Male,Electronics And Communication,0,6,83,91,0,0,0,
A3BD95LJ7BJPSQ,22,Male,Electronics And Communication,1,6,82,67,1,1,0,
AF0EFT56HYOLJ,22,Male,Information Technology,0,8,81,73,0,0,1,216000
A3D7T8RQ1GVXF7,21,Male,Computer Science,1,6,80,78,0,0,0,
AF0SHSAK8MEIM,22,Female,Electrical,0,6,76,91,0,0,1,240000
A14BTJRH9VNLJJ,22,Male,Electronics And Communication,0,7,71,67,0,0,0,
AEQB3FSGAGC3T,21,Male,Information Technology,0,8,78,68,0,0,1,940000
A3TDICDSN67ABW,22,Male,Mechanical,0,8,69,69,1,1,1,275000
